1,2014-5-22,7,4,,1025.0,975.0,1000
2,2014-5-22,6,3,,1045.101697646018,954.898302353982,1000
3,2014-5-22,6,4,,1061.5130997025371,938.4869002974629,1000
4,2014-5-22,,3,5,1061.5130997025371,919.4735001846316,1019.0134001128313
5,2014-5-22,5,,4,1082.3346069916822,919.4735001846316,998.1918928236862
6,2014-5-22,4,3,,1093.1009608030101,908.7071463733038,998.1918928236862
7,2014-5-22,9,8,,1102.4931852178609,899.3149219584532,998.1918928236862
8,2014-5-23,,3,6,1102.4931852178609,883.6535979643609,1013.8532168177785
9,2014-5-23,5,,6,1069.0417336294295,883.6535979643609,1047.3046684062099
10,2014-5-23,2,,5,1041.889683278101,883.6535979643609,1074.4567187575383
11,2014-5-23,,3,5,1041.889683278101,874.6434052387733,1083.4669114831258
12,2014-5-23,8,5,,1052.3648080382177,864.1682804786567,1083.4669114831258
13,2014-5-23,4,,11,1030.4360794962458,864.1682804786567,1105.3956400250977
14,2014-5-23,,5,4,1030.4360794962458,907.7491344588112,1061.814786044943
15,2014-5-23,5,8,,994.1390025938226,944.0462113612344,1061.814786044943
16,2014-5-23,10,9,,1014.2318449550816,923.9533689999755,1061.814786044943
17,2014-5-23,7,10,,980.6366754457392,957.5485385093178,1061.814786044943
18,2014-5-24,,2,3,980.6366754457392,942.3437423928747,1077.019582161386
19,2014-5-24,,5,6,980.6366754457392,929.5671140672131,1089.7962104870478
20,2014-5-24,,6,4,980.6366754457392,968.6231622509508,1050.7401623033102
21,2014-5-24,,6,3,980.6366754457392,1001.4962666657163,1017.8670578885447
22,2014-5-24,,7,3,980.6366754457392,1028.1187733774998,991.2445511767612
23,2014-5-24,,8,4,980.6366754457392,1049.4849510500621,969.8783735041989
24,2014-5-24,,3,2,980.6366754457392,1066.8369928687957,952.5263316854653
25,2014-5-28,,2,5,980.6366754457392,1031.211340225722,988.1519843285389
26,2014-5-28,,7,2,980.6366754457392,1051.9788738203833,967.3844507338778
27,2014-5-28,,6,5,980.6366754457392,1068.8849637603319,950.4783607939293
28,2014-5-28,3,,17,952.6577027668087,1068.8849637603319,978.4573334728598
29,2014-5-29,9,5,,988.4387083628083,1033.1039581643324,978.4573334728598
30,2014-5-29,3,4,,967.8258214268338,1053.7168451003067,978.4573334728598
31,2014-5-29,3,7,,951.034736869561,1070.5079296575796,978.4573334728598
32,2014-5-29,6,,4,978.7457102409049,1070.5079296575796,950.7463601015158
33,2014-5-29,2,,3,950.9781817064774,1070.5079296575796,978.5138886359434
34,2014-5-29,1,,6,928.7002486560203,1070.5079296575796,1000.7918216864005
35,2014-5-29,,2,7,928.7002486560203,1038.7600774736884,1032.5396738702916
36,2014-5-29,,1,3,928.7002486560203,1013.1428318805348,1058.1569194634453
37,2014-5-30,8,7,,961.7806656869733,980.0624148495818,1058.1569194634453
38,2014-5-30,9,,5,995.9049916770866,980.0624148495818,1024.0325934733319
39,2014-5-30,2,6,,969.3346961176253,1006.6327104090432,1024.0325934733319
40,2014-5-30,,5,7,969.3346961176253,983.3568960947939,1047.308407787581
41,2014-5-30,4,,3,1001.8354702254967,983.3568960947939,1014.8076336797096
42,2014-5-30,,0,4,1001.8354702254967,961.4622412311539,1036.7022885433496
43,2014-5-30,5,7,,972.8624175009128,990.4352939557378,1036.7022885433496
44,2014-6-3,,3,6,972.8624175009128,969.9763098301399,1057.1612726689475
45,2014-6-3,3,4,,947.575985703238,995.2627416278148,1057.1612726689475
46,2014-6-3,6,,1,982.8143270559086,995.2627416278148,1021.9229313162768
47,2014-6-3,4,,5,961.6649399164003,995.2627416278148,1043.0723184557853
48,2014-6-3,,4,3,961.6649399164003,1024.9516401624423,1013.3834199211578
49,2014-6-3,7,5,,992.8171924576727,993.7993876211699,1013.3834199211578
50,2014-6-4,2,3,,967.9146742024949,1018.7019058763477,1013.3834199211578
51,2014-6-4,3,,4,947.3790344398129,1018.7019058763477,1033.9190596838398
52,2014-6-4,,5,4,947.3790344398129,1045.2103639835675,1007.4106015766199
53,2014-6-4,8,,3,978.2268310576477,1045.2103639835675,976.5628049587851
54,2014-6-4,,6,5,978.2268310576477,1063.560950388737,958.2122185536156
55,2014-6-4,3,4,,961.3863977204845,1080.4013837259001,958.2122185536156
56,2014-6-5,8,7,,997.391550664352,1044.3962307820327,958.2122185536156
57,2014-6-5,6,4,,1027.0033279098727,1014.784453536512,958.2122185536156
58,2014-6-5,7,5,,1050.7915627928935,990.9962186534913,958.2122185536156
59,2014-6-5,,2,6,1050.7915627928935,962.7606765436642,986.4477606634426
60,2014-6-5,2,,7,1019.5408496227656,962.7606765436642,1017.6984738335706
61,2014-6-6,8,,4,1044.357998270167,962.7606765436642,992.8813251861692
62,2014-6-6,5,6,,1011.5313863989054,995.5872884149258,992.8813251861692
63,2014-6-6,,4,7,1011.5313863989054,970.318733633816,1018.1498799672789
64,2014-6-6,,5,6,1011.5313863989054,950.0096975888337,1038.4589160122612
65,2014-6-6,5,,6,989.1937921806485,950.0096975888337,1060.796510230518
66,2014-6-10,4,5,,960.3358650366637,978.8676247328185,1060.796510230518
67,2014-6-10,2,,6,944.809468740421,978.8676247328185,1076.3229065267606
68,2014-6-10,4,5,,923.1692694093564,1000.5078240638832,1076.3229065267606
69,2014-6-10,,6,2,923.1692694093564,1032.8131436577717,1044.017586932872
70,2014-6-10,,5,8,923.1692694093564,1008.9244446135813,1067.9062859770625
71,2014-6-10,3,,5,911.1375484310729,1008.9244446135813,1079.938006955346
72,2014-6-10,4,5,,895.382981515722,1024.679011528932,1079.938006955346
