Game,Date,Price,Tritz,Elliott,Erick,Joe,Harsh,Mark,Bijan
211,41841,,,,7,,,,6
212,41842,5,,,2,,,,
213,41842,,,,10,,,,5
214,41842,9,,,,,,,6
215,41843,,,,3,,,,2
216,41843,,,6,,3,,,
217,41843,4,8,,,,,,
218,41843,3,,,5,,,,
219,41843,,4,5,,,,,
220,41843,,,,,6,,,5
221,41845,4,,8,,,,,
222,41848,6,,7,,,,,
223,41848,5,,6,,,,,
224,41849,7,,3,,,,,
225,41849,7,,9,,,,,
226,41849,,4,,3,,,,
227,41849,,4,,7,,,,
228,41849,,6,,3,,,,
229,41850,,5,,2,,,,
230,41850,,7,,4,,,,
231,41852,,4,5,,,,,
232,41852,,7,1,,,,,
233,41852,,7,4,,,,,
234,41852,,6,2,,,,,
235,41852,,10,6,,,,,
236,41852,,,,,9,2,,
237,41852,8,,5,,,,,
238,41852,,4,,,1,,,
239,41852,6,,,,4,,,
240,41852,4,9,,,,,,
241,41852,1,7,,,,,,
242,41852,2,7,,,,,,
243,41852,3,5,,,,,,
244,41857,4,,,,8,,,
245,41857,,,,8,,3,,
246,41857,8,,,,,3,,
247,41857,,,,3,5,,,
248,41859,3,,4,,,,,
249,41859,8,,2,,,,,
250,41859,4,,8,,,,,
251,41863,4,5,,,,,,
252,41863,,5,,1,,,,
253,41863,6,,,3,,,,
254,41864,7,,,2,,,,
255,41864,5,6,,,,,,
256,41864,,3,,2,,,,
257,41864,3,2,,,,,,
258,41865,,,,,6,3,,
259,41865,2,3,,,,,,
260,41865,,,,7,,2,,
261,41865,5,,,,6,,,
262,41865,4,5,,,,,,
263,41865,4,5,,,,,,
264,41865,3,8,,,,,,
265,41865,2,8,,,,,,
266,41869,5,7,,,,,,
267,41869,3,4,,,,,,
268,41869,7,4,,,,,,
269,41869,,6,,,2,,,
270,41869,2,,,3,,,,
271,41869,,7,,5,,,,
272,41869,5,,,3,,,,
273,41869,2,5,,,,,,
274,41869,,,,3,4,,,
275,41872,3,10,,,,,,
276,41872,8,2,,,,,,
277,41872,6,5,,,,,,
278,41873,4,,6,,,,,
279,41873,10,,,4,,,,
280,41873,,,6,5,,,,
281,41884,,8,5,,,,,
282,41884,6,,8,,,,,
283,41884,8,4,,,,,,
284,41891,3,6,,,,,,
285,41891,4,11,,,,,,
286,41891,4,8,,,,,,
287,41892,6,,8,,,,,
288,41892,,7,3,,,,,
289,41892,7,6,,,,,,
290,41899,7,4,,,,,,
291,41899,4,,2,,,,,
292,41899,,7,3,,,,,
293,41899,2,8,,,,,,
294,41901,6,,9,,,,,
295,41901,,5,6,,,,,
296,41901,8,7,,,,,,
297,41901,3,,4,,,,,
298,41901,,10,1,,,,,
299,41901,5,11,,,,,,
300,41908,7,5,,,,,,
301,41908,4,10,,,,,,
302,41908,2,7,,,,,,
303,41913,7,,8,,,,,
304,41913,8,,5,,,,,
305,41913,4,,7,,,,,
306,41913,3,6,,,,,,
307,41913,7,8,,,,,,
308,41913,4,3,,,,,,
309,41918,2,,4,,,,,
310,41918,6,,8,,,,,
311,41918,4,,7,,,,,
312,41920,6,5,,,,,,
313,41920,4,6,,,,,,
314,41920,8,11,,,,,,
315,41927,,4,6,,,,,
316,41927,,6,4,,,,,
317,41927,,6,4,,,,,
318,41937,2,,6,,,,,
319,41937,4,,9,,,,,
320,41941,,7,6,,,,,
321,41941,7,,3,,,,,
322,41941,1,11,,,,,,
323,41943,4,5,,,,,,
324,41943,7,,5,,,,,
325,41943,,6,1,,,,,
326,41948,,7,6,,,,,
327,41948,,3,4,,,,,
328,41948,,7,3,,,,,
329,41949,,8,2,,,,,
330,41949,,7,2,,,,,
331,41949,,3,6,,,,,
332,41955,1,8,,,,,,
333,41955,5,4,,,,,,
334,41955,4,5,,,,,,
335,41962,,5,4,,,,,
336,41962,3,4,,,,,,
337,41962,2,,5,,,,,
338,41964,7,4,,,,,,
339,41964,3,,5,,,,,
340,41964,,5,4,,,,,
341,42019,4,,6,,,,,
342,42019,4,,6,,,,,
343,42019,4,,6,,,,,
344,42025,,5,3,,,,,
345,42025,,8,3,,,,,
346,42025,,9,4,,,,,
347,42034,5,7,,,,,,
348,42034,5,,6,,,,,
349,42034,,3,8,,,,,
350,42109,,9,8,,,,,
351,42109,,3,7,,,,,
352,42109,,7,4,,,,,
353,42136,5,9,,,,,,
354,42136,6,5,,,,,,
355,42136,7,8,,,,,,
356,42138,3,7,,,,,,
357,42138,4,5,,,,,,
358,42138,5,6,,,,,,
359,42145,,6,4,,,,,
360,42145,5,6,,,,,,
361,42145,4,,9,,,,,
362,42150,7,,5,,,,,
363,42150,,4,10,,,,,
364,42150,5,4,,,,,,
365,42151,8,5,,,,,,
366,42151,,7,3,,,,,
367,42151,4,,6,,,,,
