Name,W,L,Strk,PS/G,PA/G,aM+,aM-,WinPct,Elo,King
Tritz,284,118,W3,6.00248756218905,4.08457711442786,3.68661971830986,1.33898305084746,0.706467661691542,1233.0921035042,K
Price,142,226,L1,4.76358695652174,5.71195652173913,2.67605633802817,3.22566371681416,0.385869565217391,1142.2906059874,
Mark,0,2,L2,1.5,11,0,9.5,0,979.656872898076,
Elliott,112,142,L4,4.78346456692913,5.38188976377953,2.84821428571429,3.3169014084507,0.440944881889764,966.063176219353,
Joe,10,10,W1,4.15,4.65,2.8,3.8,0.5,1063.86022243155,
Erick,16,33,L5,4.08163265306122,5.89795918367347,2.3125,3.81818181818182,0.326530612244898,898.072769939516,
Bijan,18,41,L5,4.47457627118644,6,2.38888888888889,3.24390243902439,0.305084745762712,886.169982765397,
Harsh,0,10,L10,1.5,7.7,0,6.2,0,830.794266254501,
